Model	Lab "Parameters(B)"	"Announced"				
Rerank 3	Cohere	104	Apr/2024				
gpt-4-turbo-2024-04-09	OpenAI		Apr/2024				
MiniCPM-2.4B	Tsinghua	2.4	Apr/2024				
Ferret-UI	Apple	13	Apr/2024				
mixtral-8x22b	Mistral	141	Apr/2024				
Sailor	Sail	7	Apr/2024				
JetMoE-8B	MIT	8	Apr/2024				
Eurus	Tsinghua	70	Apr/2024				
Command-R+	Cohere	104	Apr/2024				
Viking	Silo AI	33	Apr/2024				
OLMo-Bitnet-1B	Nous Research	1	Apr/2024				
Aurora-M	International	15.5	Mar/2024				
ReALM-3B	Apple	3	Mar/2024				
Qwen1.5-MoE-A2.7B	Alibaba	14.3	Mar/2024				
Grok-1.5	xAI	314	Mar/2024				
Jamba	AI21	52	Mar/2024				
DBRX	MosaicML	132	Mar/2024				
Stable Code Instruct 3B	Stability AI	2.7	Mar/2024				
EvoLLM-JP	Sakana AI	10	Mar/2024				
RakutenAI-7B	Rakuten Group	7	Mar/2024				
Parakeet	Independent	0.378	Mar/2024				
RWKV-v5 EagleX	RWKV	7.52	Mar/2024				
MM1	Apple	30	Mar/2024				
RFM-1	Covariant	8	Mar/2024				
Command-R	Cohere	35	Mar/2024				
DeepSeek-VL	DeepSeek-AI	7	Mar/2024				
AnyGPT	Fudan University	7	Mar/2024				
Stable Beluga 2.5	Stability AI	70	Mar/2024				
Inflection-2.5	Inflection AI	1200	Mar/2024				
Apollo	SRIBD/CUHK	7	Mar/2024				
Claude 3 Opus	Anthropic	2000	Mar/2024				
Nemotron-4 15B	NVIDIA	15	Feb/2024				
TowerLLM	Unbabel	7	Feb/2024				
Hawk	Google DeepMind	7	Feb/2024				
Griffin	Google DeepMind	14	Feb/2024				
BitNet b1.58	Microsoft	70	Feb/2024				
Samba-1	SambaNova	1400	Feb/2024				
Aya-101	Cohere	13	Feb/2024				
Cosmo-1B	HF	1.8	Feb/2024				
Poro	Silo AI	34.2	Feb/2024				
StarCoder 2	HF/ServiceNow	15	Feb/2024				
530B	ByteDance	530	Feb/2024				
175B	ByteDance	175	Feb/2024				
Mistral Small	Mistral	7	Feb/2024				
Mistral Large	Mistral	300	Feb/2024				
Hanooman	Reliance	40	Feb/2024				
Ask	Apple	20	Feb/2024				
Reka Edge	Reka AI	7	Feb/2024				
Reka Flash	Reka AI	21	Feb/2024				
Gemma	Google DeepMind	7	Feb/2024				
Gemini 1.5 Pro	Google DeepMind	1500	Feb/2024				
Qwen-1.5 72B	Alibaba	72	Feb/2024				
GOODY-2	BRAIN		Feb/2024				
Natural-SQL-7B	ChatDB	7	Feb/2024				
Sea-Lion	AI Singapore	7.5	Feb/2024				
TimesFM	Google	0.2	Feb/2024				
OLMo	Allen AI	7	Feb/2024				
FLOR-6.3B	Cerebras	6.3	Jan/2024				
Weaver	AIWaves.cn	34	Jan/2024				
miqu 70b	Mistral	70	Jan/2024				
iFlytekSpark-13B	iFlyTek	13	Jan/2024				
Xinghuo 3.5 (Spark)	iFlyTek	200	Jan/2024				
MGIE	Apple	7	Jan/2024				
CodeLlama-70B	Meta AI	70	Jan/2024				
RWKV-v5 Eagle 7B	RWKV	7.52	Jan/2024				
MaLA-500	LMU	10	Jan/2024				
MambaByte	Cornell	0.972	Jan/2024				
DeepSeek-Coder	DeepSeek-AI	33	Jan/2024				
FuseLLM	Tencent	7	Jan/2024				
Fuyu-Heavy	Adept	120	Jan/2024				
Orion-14B	OrionStar	14	Jan/2024				
InternLM2	Shanghai AI Laboratory/SenseTime	20	Jan/2024				
GLM-4	Zhipu AI (Tsinghua)	200	Jan/2024				
DeepSeekMoE	DeepSeek-AI	16	Jan/2024				
DeepSeek	DeepSeek-AI	67	Jan/2024				
LLaMA Pro	Tencent	8.3	Jan/2024				
TinyLlama	SUTD/Independent	1.1	Jan/2024				
DocLLM	JPMorgan	7	Jan/2024				
Unified-IO 2	Allen AI	7	Dec/2023				
WaveCoder-DS-6.7B	Microsoft	6.7	Dec/2023				
YunShan	Huawei	7	Dec/2023				
PanGu-Pi	Huawei	7	Dec/2023				
YAYI 2	Wenge	30	Dec/2023				
Emu2	BAAI	37	Dec/2023				
MedLM	Google DeepMind		Dec/2023				
SOLAR-10.7B	Upstage AI	10.7	Dec/2023				
DeciLM-7B	Deci	7.04	Dec/2023				
Mistral-medium	Mistral	180	Dec/2023				
mixtral-8x7b-32kseqlen	Mistral	46.7	Dec/2023				
StripedHyena 7B	Together	7.65	Dec/2023				
NexusRaven-V2 13B	Nexusflow.ai 		Dec/2023				
Gemini Ultra 1.0	Google DeepMind	1500	Dec/2023				
Mamba	CMU	2.8	Dec/2023				
LVM-3B	Berkeley/JHU	3	Dec/2023				
SeaLLM-13b	Alibaba	13	Dec/2023				
pplx-70b-online	Perplexity	70	Nov/2023				
SeamlessM4T-Large v2	Meta AI	2.3	Nov/2023				
Q-Transformer	Google DeepMind		Nov/2023				
Yuan 2.0	IEIT	102.6	Nov/2023				
MEDITRON	EPFL	70	Nov/2023				
Transformers-Arithmetic	Microsoft	0.1	Nov/2023				
Starling-7B	Berkeley	7	Nov/2023				
Inflection-2	Inflection AI	1200	Nov/2023				
Claude 2.1	Anthropic	130	Nov/2023				
T�LU 2	Allen AI	70	Nov/2023				
Nemotron-3 22B	NVIDIA	22	Nov/2023				
Nemotron-2 43B	NVIDIA	43	Nov/2023				
Orca 2	Microsoft	13	Nov/2023				
Phi-2	Microsoft	2.7	Nov/2023				
Florence-2	Microsoft	0.771	Nov/2023				
Mirasol3B	Google DeepMind	3	Nov/2023				
OtterHD-8B	NTU	8	Nov/2023				
Gauss	Samsung	7	Nov/2023				
Grok-1	xAI	314	Nov/2023				
Grok-0	xAI	33	Nov/2023				
Yi-34B	01-ai	34.4	Nov/2023				
GPT-4 Turbo	OpenAI		Nov/2023				
Skywork-13B	Kunlun Tech	13	Oct/2023				
Kimi Chat	Moonshot AI	100	Oct/2023				
jina-embeddings-v2	Jina AI	0.435	Oct/2023				
Fuyu	Adept	8	Oct/2023				
ERNIE 4.0	Baidu	1000	Oct/2023				
Zephyr	Hugging Face H4	7.3	Oct/2023				
PaLI-3	Google DeepMind	5	Oct/2023				
Retro 48B	NVIDIA	48	Oct/2023				
Ferret	Apple	13	Oct/2023				
Lemur	XLANG Lab	70	Oct/2023				
AceGPT	KAUST/Shenzhen	13	Oct/2023				
Yasa-1	Reka AI		Oct/2023				
RT-X	Google DeepMind	55	Oct/2023				
MotionLM	Waymo	0.09	Sep/2023				
GAIA-1	Wayve	9	Sep/2023				
Qwen	Alibaba	72	Sep/2023				
Llama 2 Long	Meta AI	70	Sep/2023				
LeoLM	Hessian AI/LAION	13	Sep/2023				
Mistral 7B	Mistral	7.3	Sep/2023				
Kosmos-2.5	Microsoft	1.3	Sep/2023				
Baichuan 2	Baichuan	13	Sep/2023				
BOLT2.5B	ThirdAI	2.5	Sep/2023				
DeciLM	Deci	5.7	Sep/2023				
MoLM	IBM	8	Sep/2023				
NExT-GPT	Singapore	7	Sep/2023				
Phi-1.5	Microsoft	1.3	Sep/2023				
UniLM	Apple	0.034	Sep/2023				
Persimmon-8B	Adept	8	Sep/2023				
FLM-101B	BAAI	101	Sep/2023				
Falcon 180B	TII	180	Sep/2023				
Hunyuan	Tencent	100	Sep/2023				
phi-CTNL	Independent	0.1	Sep/2023				
Jais	Inception	13	Aug/2023				
Code Llama 34B	Meta AI	34	Aug/2023				
IDEFICS	Hugging Face	80	Aug/2023				
Raven	UI/NVIDIA	11	Aug/2023				
DukunLM	AzaleAI	13	Aug/2023				
WizardLM	Microsoft	70	Aug/2023				
Platypus	Boston University	70	Aug/2023				
Japanese StableLM Alpha 7B	Stability AI	7	Aug/2023				
Stable Code 3B	Stability AI	2.7	Aug/2023				
Med-Flamingo	Stanford	8.3	Jul/2023				
Alfred-40B-0723	LightOn	40	Jul/2023				
LLaMA-2-7B-32K	Together	7	Jul/2023				
Med-PaLM M	Google DeepMind	540	Jul/2023				
BTLM-3B-8K	Cerebras	3	Jul/2023				
Stable Beluga 2	Stability AI	70	Jul/2023				
Stable Beluga 1	Stability AI	65	Jul/2023				
Meta-Transformer	Shanghai AI Laboratory/CUHK	2	Jul/2023				
Llama 2	Meta AI	70	Jul/2023				
WormGPT	(Undisclosed)	6	Jul/2023				
Claude 2	Anthropic	130	Jul/2023				
LongLLaMA	IDEAS/DeepMind	7	Jul/2023				
xTrimoPGLM	Tsinghua	100	Jul/2023				
XGen	Salesforce	7	Jul/2023				
Zhinao (Intellectual Brain)	360 cn	100	Jul/2023				
Yasa	Reka AI		Jun/2023				
Kosmos-2	Microsoft	1.6	Jun/2023				
AudioPaLM	Google	340	Jun/2023				
Inflection-1	Inflection AI	120	Jun/2023				
Phi-1	Microsoft	1.3	Jun/2023				
InternLM	Shanghai AI Laboratory/SenseTime	104	Jun/2023				
BlenderBot 3x	Meta AI	175	Jun/2023				
Orca	Microsoft	13	Jun/2023				
PassGPT	ETH Z�rich		Jun/2023				
DIDACT	Google DeepMind		Jun/2023				
LTM-1	Magic		Jun/2023				
GPT-4 MathMix	OpenAI	1760	May/2023				
PandaGPT	Cambridge/Tencent	13	May/2023				
Falcon	TII	40	May/2023				
202305-refact2b-mqa-lion	Refact	1.6	May/2023				
Guanaco	UW	65	May/2023				
LIMA	Meta AI	65	May/2023				
Formosa (FFM)	Asus/TWS	176	May/2023				
CodeT5+	Salesforce	16	May/2023				
PaLM 2	Google	340	May/2023				
StarCoder	HF/ServiceNow	15.5	May/2023				
MPT	MosaicML	7	May/2023				
Pi	Inflection AI	60	May/2023				
GPT-2B-001	NVIDIA	2	May/2023				
Titan	Amazon	200	Apr/2023				
WizardLM	Microsoft	7	Apr/2023				
MPT	MosaicML	1.3	Apr/2023				
StableLM	Stability AI	65	Apr/2023				
Dolly 2.0	Databricks	12	Apr/2023				
Pythia	EleutherAI	12	Apr/2023				
Koala-13B	Berkeley	13	Apr/2023				
C1.2	Character.ai	33	Mar/2023				
BloombergGPT	Bloomberg	50	Mar/2023				
OpenFlamingo-9B	LAION	8.3	Mar/2023				
GPT4All-LoRa	Nomic	7	Mar/2023				
Cerebras-GPT	Cerebras	13	Mar/2023				
PanGu-Sigma	Huawei	1085	Mar/2023				
CoLT5	Google	5.2	Mar/2023				
Med-PaLM 2	Google DeepMind		Mar/2023				
"GPT-4 Classic (gpt-4-0314 & gpt-4-0613, non-Turbo)"	OpenAI	1760	Mar/2023				
Alpaca	Stanford	7	Mar/2023				
Jurassic-2	AI21	178	Mar/2023				
GPT-NeoX-Chat-Base-20B	Together	20	Mar/2023				
Kosmos-1	Microsoft	1.6	Feb/2023				
LLaMA-65B	Meta AI	65	Feb/2023				
MOSS	Fudan University	16	Feb/2023				
Palmyra	Writer	20	Feb/2023				
Luminous Supreme Control	Aleph Alpha	70	Feb/2023				
Toolformer+Atlas 11B+NLLB 54B	Meta AI	6.7	Feb/2023				
Multimodal-CoT	Amazon	0.738	Feb/2023				
FLAME	Microsoft	0.06	Jan/2023				
Med-PaLM 1	Google DeepMind	540	Dec/2022				
OPT-IML	Meta AI	175	Dec/2022				
RL-CAI	Anthropic	52	Dec/2022				
ERNIE-Code	Baidu	0.56	Dec/2022				
RT-1	Google	0.035	Dec/2022				
ChatGPT (gpt-3.5-turbo)	OpenAI	20	Nov/2022				
text-davinci-003	OpenAI		Nov/2022				
GPT-JT	Together	6	Nov/2022				
RWKV-4	RWKV	14	Nov/2022				
Galactica	Meta AI	120	Nov/2022				
SED	DeepMind		Nov/2022				
mT0	BigScience	13	Nov/2022				
BLOOMZ	BigScience	176	Nov/2022				
PACT	Microsoft		Oct/2022				
Flan-T5	Google	11	Oct/2022				
Flan-PaLM	Google	540	Oct/2022				
U-PaLM	Google	540	Oct/2022				
VIMA	NVIDIA	0.2	Oct/2022				
OpenChat	Tsinghua	13	Sep/2022				
WeLM	Wechat	10	Sep/2022				
CodeGeeX	Tsinghua	13	Sep/2022				
Sparrow	DeepMind	70	Sep/2022				
PaLI	Google	17	Sep/2022				
NeMo Megatron-GPT 20B	NVIDIA	20	Sep/2022				
Z-Code++	Microsoft	0.71	Aug/2022				
Atlas	Meta AI	11	Aug/2022				
BlenderBot 3	Meta AI	175	Aug/2022				
GLM-130B	Tsinghua	130	Aug/2022				
AlexaTM 20B	Amazon	20	Aug/2022				
6.9B FIM	OpenAI	6.9	Jul/2022				
�monorepo-Transformer�	Google	0.5	Jul/2022				
PanGu-Coder	Huawei	2.6	Jul/2022				
NLLB	Meta AI	54.5	Jul/2022				
J-1 RBG	AI21	178	Jul/2022				
BLOOM (tr11-176B-ml)	BigScience	176	Jul/2022				
Minerva	Google	540	Jun/2022				
GODEL-XL	Microsoft	2.7	Jun/2022				
YaLM 100B	Yandex	100	Jun/2022				
Unified-IO	Allen AI	2.8	Jun/2022				
Perceiver AR	DeepMind	1	Jun/2022				
LIMoE	Google	5.6	Jun/2022				
GPT-4chan	Independent	6	Jun/2022				
Diffusion-LM	Stanford	0.3	May/2022				
UL2 20B	Google	20	May/2022				
Gato (Cat)	DeepMind	1	May/2022				
LaMDA 2	Google	137	May/2022				
OPT-175B	Meta AI	175	May/2022				
Tk-Instruct	Hugging Face	11	Apr/2022				
InCoder	Meta AI	6.7	Apr/2022				
NOOR	TII	10	Apr/2022				
mGPT	Sber	13	Apr/2022				
PaLM-Coder	Google	540	Apr/2022				
PaLM	Google	540	Apr/2022				
SeeKeR	Meta AI	2.7	Mar/2022				
CodeGen	Salesforce	16	Mar/2022				
VLM-4	LightOn	10	Mar/2022				
CM3	Meta AI	13	Jan/2022				
Luminous	Aleph Alpha	200	Nov/2021				
Chinchilla	DeepMind	70	Mar/2022				
GPT-NeoX-20B	EleutherAI	20	Feb/2022				
ERNIE 3.0 Titan	Baidu	260	Dec/2021				
XGLM	Meta AI	7.5	Dec/2021				
Fairseq	Meta AI	1100	Dec/2021				
Gopher	DeepMind	280	Dec/2021				
GLaM	Google	1200	Dec/2021				
Anthropic-LM 52B	Anthropic	52	Dec/2021				
RETRO	DeepMind	7.5	Dec/2021				
DeBERTaV3	Microsoft	1.5	Nov/2021				
BERT-480	Google	480	Nov/2021				
BERT-200	Google	200	Nov/2021				
Cedille FR-Boris	Coteries	6	Nov/2021				
MT-NLG	Microsoft/NVIDIA	530	Oct/2021				
FLAN	Google	137	Sep/2021				
Command xlarge	Cohere	52.4	Sep/2021				
PLATO-XL	Baidu	11	Sep/2021				
Macaw	Allen AI	11	Sep/2021				
CodeT5	Salesforce	0.7	Mar/2022				
Codex	OpenAI	12	Aug/2021				
Jurassic-1	AI21	178	Aug/2021				
BlenderBot 2.0	Meta AI	9.4	Jul/2021				
GPT-J	EleutherAI	6	Jun/2021				
LaMDA	Google	137	Jun/2021				
ruGPT-3	Huawei/Sberbank	1.3	Feb/2021				
Switch	Google	1600	Jan/2021				
GPT-3	OpenAI	175	May/2020				
Megatron-11B	Meta AI	11	Apr/2020				
Transformer++	American Express	0.212	Mar/2020				
Meena	Google	2.6	Jan/2020				
T5	Google	11	Oct/2019				
Megatron-LM	NVIDIA	8.3	Sep/2019				
RoBERTa	Meta AI	0.355	Jul/2019				
GPT-2	OpenAI	1.5	Feb/2019				
BERT	Google	0.34	Oct/2018				
GPT-1	OpenAI	0.117	Jun/2018				
ULMFiT	Fast.ai	0.034	Jan/2018				
Transformer (big)	Google	0.213	Jun/2017				
Transformer (base)	Google	0.065	Jun/2017				
About this sheet							
